Date/Time (EST),Precipitation (mm)
2016-01-01 00:00:00,10.0
2016-01-01 00:03:00,9.4894736842105267
2016-01-01 00:06:00,8.9789473684210535
2016-01-01 00:09:00,8.4684210526315802
2016-01-01 00:12:00,7.9578947368421051
2016-01-01 00:15:00,7.4473684210526319
2016-01-01 00:18:00,6.9368421052631586
2016-01-01 00:21:00,6.4263157894736853
2016-01-01 00:24:00,5.9157894736842112
2016-01-01 00:27:00,5.4052631578947379
2016-01-01 00:30:00,4.8947368421052637
2016-01-01 00:33:00,4.3842105263157904
2016-01-01 00:36:00,3.8736842105263172
2016-01-01 00:39:00,3.363157894736843
2016-01-01 00:42:00,2.8526315789473697
2016-01-01 00:45:00,2.3421052631578956
2016-01-01 00:48:00,1.8315789473684223
2016-01-01 00:51:00,1.321052631578949
2016-01-01 00:54:00,0.81052631578947576
2016-01-01 00:57:00,0.29999999999999999
