Date/Time (EST),Precipitation (mm)
2016-01-01 00:00:00,300.0
2016-01-01 00:03:00,284.2263157894737
2016-01-01 00:06:00,268.4526315789474
2016-01-01 00:09:00,252.67894736842106
2016-01-01 00:12:00,236.90526315789475
2016-01-01 00:15:00,221.13157894736844
2016-01-01 00:18:00,205.3578947368421
2016-01-01 00:21:00,189.5842105263158
2016-01-01 00:24:00,173.81052631578947
2016-01-01 00:27:00,158.03684210526316
2016-01-01 00:30:00,142.26315789473685
2016-01-01 00:33:00,126.48947368421054
2016-01-01 00:36:00,110.7157894736842
2016-01-01 00:39:00,94.94210526315788
2016-01-01 00:42:00,79.16842105263157
2016-01-01 00:45:00,63.39473684210526
2016-01-01 00:48:00,47.62105263157895
2016-01-01 00:51:00,31.847368421052636
2016-01-01 00:54:00,16.073684210526324
2016-01-01 00:57:00,0.3
