Date/Time (EST),1m Daily Precipitation (in)
01/01/2011,0.25
01/02/2011,0.21
01/03/2011,0
01/04/2011,0
01/05/2011,0
01/06/2011,0.09
01/07/2011,0
01/08/2011,0
01/09/2011,0
01/10/2011,0
01/11/2011,0.03
01/12/2011,0.1
01/13/2011,0
01/14/2011,0
01/15/2011,0
01/16/2011,0
01/17/2011,0.06
01/18/2011,0.01
01/19/2011,0.02
01/20/2011,0
01/21/2011,0
01/22/2011,0
01/23/2011,0
01/24/2011,0
01/25/2011,0.12
01/26/2011,0.26
01/27/2011,0
01/28/2011,0
01/29/2011,0
01/30/2011,0
01/31/2011,0
02/01/2011,0
02/02/2011,0.19
02/03/2011,0
02/04/2011,0.56
02/05/2011,0.45
02/06/2011,0
02/07/2011,0.01
02/08/2011,0
02/09/2011,0
02/10/2011,0.02
02/11/2011,0
02/12/2011,0
02/13/2011,0
02/14/2011,0
02/15/2011,0
02/16/2011,0
02/17/2011,0
02/18/2011,0
02/19/2011,0
02/20/2011,0
02/21/2011,0
02/22/2011,0
02/23/2011,0
02/24/2011,0
02/25/2011,0.01
02/26/2011,0
02/27/2011,0
02/28/2011,0.81
03/01/2011,0
03/02/2011,0
03/03/2011,0
03/04/2011,0
03/05/2011,0
03/06/2011,0.87
03/07/2011,0
03/08/2011,0
03/09/2011,0.11
03/10/2011,0.45
03/11/2011,0
03/12/2011,0
03/13/2011,0
03/14/2011,0
03/15/2011,0
03/16/2011,0.04
03/17/2011,0
03/18/2011,0
03/19/2011,0
03/20/2011,0
03/21/2011,0
03/22/2011,0
03/23/2011,0.16
03/24/2011,0.08
03/25/2011,0
03/26/2011,0.3
03/27/2011,0.06
03/28/2011,0
03/29/2011,0
03/30/2011,0.65
03/31/2011,0.09
04/01/2011,0
04/02/2011,0
04/03/2011,0
04/04/2011,0
04/05/2011,0.44
04/06/2011,0
04/07/2011,0
04/08/2011,0.2
04/09/2011,1.03
04/10/2011,0.01
04/11/2011,0
04/12/2011,0
04/13/2011,0
04/14/2011,0
04/15/2011,0
04/16/2011,0.61
04/17/2011,0
04/18/2011,0
04/19/2011,0
04/20/2011,0
04/21/2011,0
04/22/2011,0.38
04/23/2011,0.02
04/24/2011,0
04/25/2011,0
04/26/2011,0.35
04/27/2011,0.02
04/28/2011,0.14
04/29/2011,0
04/30/2011,0
05/01/2011,0
05/02/2011,0
05/03/2011,0
05/04/2011,0.47
05/05/2011,0
05/06/2011,0.02
05/07/2011,0
05/08/2011,0.12
05/09/2011,0
05/10/2011,0.21
05/11/2011,0
05/12/2011,0.01
05/13/2011,0.03
05/14/2011,0.73
05/15/2011,0.01
05/16/2011,0
05/17/2011,0.14
05/18/2011,0.01
05/19/2011,0
05/20/2011,0.04
05/21/2011,0
05/22/2011,0
05/23/2011,0.12
05/24/2011,0
05/25/2011,0
05/26/2011,0
05/27/2011,1.16
05/28/2011,0.01
05/29/2011,0
05/30/2011,0
05/31/2011,0
06/01/2011,0
06/02/2011,0
06/03/2011,0
06/04/2011,0
06/05/2011,0
06/06/2011,0
06/07/2011,0
06/08/2011,0
06/09/2011,0
06/10/2011,0.84
06/11/2011,0.02
06/12/2011,0
06/13/2011,0
06/14/2011,0
06/15/2011,0
06/16/2011,0
06/17/2011,0
06/18/2011,0
06/19/2011,0
06/20/2011,0.43
06/21/2011,0
06/22/2011,0.01
06/23/2011,0
06/24/2011,0.03
06/25/2011,0
06/26/2011,0
06/27/2011,1.65
06/28/2011,0.07
06/29/2011,0.67
06/30/2011,0
07/01/2011,0
07/02/2011,0
07/03/2011,0
07/04/2011,0.1
07/05/2011,0.53
07/06/2011,0.45
07/07/2011,0
07/08/2011,0.05
07/09/2011,0.04
07/10/2011,0
07/11/2011,0
07/12/2011,0
07/13/2011,0
07/14/2011,0
07/15/2011,0
07/16/2011,0
07/17/2011,0
07/18/2011,0
07/19/2011,0
07/20/2011,0
07/21/2011,0
07/22/2011,0
07/23/2011,0.11
07/24/2011,0.01
07/25/2011,0.17
07/26/2011,0
07/27/2011,0
07/28/2011,0
07/29/2011,0
07/30/2011,0.21
07/31/2011,0.11
08/01/2011,0.01
08/02/2011,0
08/03/2011,0.02
08/04/2011,0
08/05/2011,0
08/06/2011,1.72
08/07/2011,0.07
08/08/2011,0
08/09/2011,0
08/10/2011,0
08/11/2011,0
08/12/2011,0
08/13/2011,0.23
08/14/2011,0.43
08/15/2011,0.01
08/16/2011,0
08/17/2011,0
08/18/2011,0
08/19/2011,0.05
08/20/2011,0
08/21/2011,0.66
08/22/2011,0
08/23/2011,0
08/24/2011,0
08/25/2011,0
08/26/2011,0.4
08/27/2011,1.08
08/28/2011,0
08/29/2011,0.45
08/30/2011,0.01
08/31/2011,0
09/01/2011,0
09/02/2011,0
09/03/2011,0
09/04/2011,0
09/05/2011,0.12
09/06/2011,1.52
