Date/Time (EST),1m Daily Precipitation (in)
01/01/2009,0
01/02/2009,0.05
01/03/2009,0.01
01/04/2009,0.31
01/05/2009,0
01/06/2009,1.16
01/07/2009,0.12
01/08/2009,0
01/09/2009,0
01/10/2009,0
01/11/2009,0.07
01/12/2009,0
01/13/2009,0
01/14/2009,0
01/15/2009,0
01/16/2009,0
01/17/2009,0
01/18/2009,0.08
01/19/2009,0.02
01/20/2009,0
01/21/2009,0
01/22/2009,0.03
01/23/2009,0
01/24/2009,0
01/25/2009,0
01/26/2009,0
01/27/2009,0.05
01/28/2009,0.42
01/29/2009,0
01/30/2009,0
01/31/2009,0
02/01/2009,0
02/02/2009,0.14
02/03/2009,0.14
02/04/2009,0
02/05/2009,0
02/06/2009,0
02/07/2009,0
02/08/2009,0
02/09/2009,0
02/10/2009,0
02/11/2009,0.05
02/12/2009,0
02/13/2009,0
02/14/2009,0
02/15/2009,0
02/16/2009,0
02/17/2009,0
02/18/2009,0.69
02/19/2009,0.01
02/20/2009,0
02/21/2009,0
02/22/2009,0
02/23/2009,0
02/24/2009,0
02/25/2009,0
02/26/2009,0
02/27/2009,0
02/28/2009,0.43
03/01/2009,1.13
03/02/2009,0
03/03/2009,0.03
03/04/2009,0.02
03/05/2009,0
03/06/2009,0
03/07/2009,0
03/08/2009,0
03/09/2009,0
03/10/2009,0
03/11/2009,0
03/12/2009,0
03/13/2009,0.47
03/14/2009,0.4
03/15/2009,0.54
03/16/2009,0.23
03/17/2009,0
03/18/2009,0
03/19/2009,0.48
03/20/2009,0.01
03/21/2009,0
03/22/2009,0
03/23/2009,0
03/24/2009,0
03/25/2009,0
03/26/2009,0.63
03/27/2009,0.58
03/28/2009,0.97
03/29/2009,0.02
03/30/2009,0
03/31/2009,0
04/01/2009,0.01
04/02/2009,0.22
04/03/2009,0.04
04/04/2009,0
04/05/2009,0
04/06/2009,0.34
04/07/2009,0
04/08/2009,0
04/09/2009,0
04/10/2009,0.08
04/11/2009,0.02
04/12/2009,0
04/13/2009,0
04/14/2009,0.15
04/15/2009,0
04/16/2009,0
04/17/2009,0
04/18/2009,0
04/19/2009,0
04/20/2009,0.23
04/21/2009,0
04/22/2009,0
04/23/2009,0
04/24/2009,0
04/25/2009,0
04/26/2009,0
04/27/2009,0
04/28/2009,0
04/29/2009,0
04/30/2009,0
05/01/2009,0.01
