Date/Time (EST),1m Daily Precipitation (in)
01/01/2013,0.2
01/02/2013,0.31
01/03/2013,0
01/04/2013,0
01/05/2013,0
01/06/2013,0
01/07/2013,0
01/08/2013,0
01/09/2013,0
01/10/2013,0
01/11/2013,0.27
01/12/2013,0
01/13/2013,0
01/14/2013,0
01/15/2013,0.01
01/16/2013,0.19
01/17/2013,0.9
01/18/2013,0.07
01/19/2013,0
01/20/2013,0
01/21/2013,0
01/22/2013,0
01/23/2013,0
01/24/2013,0
01/25/2013,0
01/26/2013,0.3
01/27/2013,0
01/28/2013,0.01
01/29/2013,0
01/30/2013,0.06
01/31/2013,0.33
02/01/2013,0
02/02/2013,0
02/03/2013,0
02/04/2013,0
02/05/2013,0
02/06/2013,0
02/07/2013,0.3
02/08/2013,0.53
02/09/2013,0
02/10/2013,0.02
02/11/2013,0.05
02/12/2013,0
02/13/2013,0.1
02/14/2013,0
02/15/2013,0
02/16/2013,0.35
02/17/2013,0
02/18/2013,0
02/19/2013,0.06
02/20/2013,0
02/21/2013,0
02/22/2013,0.3
02/23/2013,0.83
02/24/2013,0.12
02/25/2013,0
02/26/2013,0.88
02/27/2013,0
02/28/2013,0
03/01/2013,0
03/02/2013,0
03/03/2013,0
03/04/2013,0
03/05/2013,0.22
03/06/2013,0.01
03/07/2013,0
03/08/2013,0
03/09/2013,0
03/10/2013,0
03/11/2013,0
03/12/2013,0.34
03/13/2013,0
03/14/2013,0
03/15/2013,0
03/16/2013,0
03/17/2013,0
03/18/2013,0.24
03/19/2013,0.01
03/20/2013,0
03/21/2013,0
03/22/2013,0
03/23/2013,0
03/24/2013,0.49
03/25/2013,0
03/26/2013,0
03/27/2013,0
03/28/2013,0
03/29/2013,0
03/30/2013,0
03/31/2013,0.26
04/01/2013,0.05
04/02/2013,0
04/03/2013,0
04/04/2013,0.86
04/05/2013,0.01
04/06/2013,0
04/07/2013,0
04/08/2013,0
04/09/2013,0
04/10/2013,0
04/11/2013,0
04/12/2013,0.36
04/13/2013,0
04/14/2013,0
04/15/2013,0
04/16/2013,0
04/17/2013,0
04/18/2013,0
04/19/2013,0.49
04/20/2013,0.05
04/21/2013,0
04/22/2013,0
04/23/2013,0.01
04/24/2013,0
04/25/2013,0
04/26/2013,0
04/27/2013,0
04/28/2013,0.6
04/29/2013,0.88
04/30/2013,0
05/01/2013,0.01
05/02/2013,0
05/03/2013,0
05/04/2013,0
05/05/2013,0
05/06/2013,1.09
05/07/2013,0.03
05/08/2013,0.16
05/09/2013,0.01
05/10/2013,0
05/11/2013,0
05/12/2013,0
05/13/2013,0
05/14/2013,0
05/15/2013,0
05/16/2013,0
05/17/2013,0
05/18/2013,0.09
05/19/2013,0.54
05/20/2013,0.28
05/21/2013,0.34
05/22/2013,0.02
05/23/2013,0.77
05/24/2013,0
05/25/2013,0
05/26/2013,0
05/27/2013,0
05/28/2013,0
05/29/2013,0
05/30/2013,0
05/31/2013,0
06/01/2013,0
06/02/2013,0.02
06/03/2013,0.29
06/04/2013,0
06/05/2013,0
06/06/2013,0.54
06/07/2013,2.76
06/08/2013,0.05
06/09/2013,0.1
06/10/2013,0.55
06/11/2013,0
06/12/2013,0
06/13/2013,0.1
06/14/2013,0
06/15/2013,0
06/16/2013,0
06/17/2013,0
06/18/2013,1.43
06/19/2013,0.01
06/20/2013,0
06/21/2013,0
06/22/2013,0.12
06/23/2013,0.02
06/24/2013,0
06/25/2013,0.03
06/26/2013,0.39
06/27/2013,0
06/28/2013,1.57
06/29/2013,0.1
06/30/2013,0.28
07/01/2013,0.71
07/02/2013,0.85
07/03/2013,0.18
07/04/2013,0.1
07/05/2013,0.04
07/06/2013,0
07/07/2013,0
07/08/2013,0.06
07/09/2013,0.17
07/10/2013,0
07/11/2013,0.32
07/12/2013,0.09
07/13/2013,0.15
07/14/2013,0
07/15/2013,0
07/16/2013,0
07/17/2013,0
07/18/2013,0.02
07/19/2013,0.01
07/20/2013,0
07/21/2013,0.16
07/22/2013,0.01
07/23/2013,0
07/24/2013,0.14
07/25/2013,0.03
07/26/2013,0
07/27/2013,0.25
07/28/2013,0.01
07/29/2013,0.01
07/30/2013,0
07/31/2013,0.1
08/01/2013,0.01
08/02/2013,0
08/03/2013,1.42
08/04/2013,0
08/05/2013,0
08/06/2013,0.06
08/07/2013,0
08/08/2013,0
08/09/2013,0.01
08/10/2013,0.05
08/11/2013,0
08/12/2013,0
08/13/2013,0.2
08/14/2013,0
08/15/2013,0
08/16/2013,0
08/17/2013,0.25
08/18/2013,0.01
08/19/2013,0.14
08/20/2013,0
08/21/2013,0.07
08/22/2013,0.01
08/23/2013,0
08/24/2013,0.01
08/25/2013,0
08/26/2013,0
08/27/2013,0
08/28/2013,0
08/29/2013,0
08/30/2013,0
08/31/2013,0
09/01/2013,1.19
09/02/2013,0.01
09/03/2013,0.03
09/04/2013,0
09/05/2013,0
09/06/2013,0
09/07/2013,0
09/08/2013,0
09/09/2013,0
09/10/2013,0
09/11/2013,0
09/12/2013,0.01
09/13/2013,0
09/14/2013,0
09/15/2013,0
09/16/2013,0.48
09/17/2013,0
09/18/2013,0
09/19/2013,0
09/20/2013,0.23
09/21/2013,0.72
09/22/2013,0.78
09/23/2013,0
09/24/2013,0
09/25/2013,0
09/26/2013,0
09/27/2013,0
09/28/2013,0
09/29/2013,0
09/30/2013,0
10/01/2013,0
10/02/2013,0
10/03/2013,0
10/04/2013,0
10/05/2013,0
10/06/2013,0
10/07/2013,0.28
10/08/2013,0.02
10/09/2013,0.1
10/10/2013,0.26
10/11/2013,0.01
10/12/2013,0
10/13/2013,0.01
10/14/2013,0.11
10/15/2013,0
10/16/2013,0
10/17/2013,0
10/18/2013,0
10/19/2013,0
10/20/2013,0
10/21/2013,0
10/22/2013,0
10/23/2013,0
10/24/2013,0
10/25/2013,0
10/26/2013,0
10/27/2013,0
10/28/2013,0
10/29/2013,0
10/30/2013,0
10/31/2013,0
11/01/2013,0.91
11/02/2013,0
11/03/2013,0
11/04/2013,0
11/05/2013,0
11/06/2013,0.01
11/07/2013,0.08
11/08/2013,0
11/09/2013,0
11/10/2013,0
11/11/2013,0
11/12/2013,0.01
11/13/2013,0
11/14/2013,0
11/15/2013,0
11/16/2013,0
11/17/2013,0.09
11/18/2013,0.13
11/19/2013,0
11/20/2013,0
11/21/2013,0
11/22/2013,0.03
11/23/2013,0.03
11/24/2013,0
11/25/2013,0
11/26/2013,0.68
11/27/2013,1.18
11/28/2013,0
11/29/2013,0
11/30/2013,0
12/01/2013,0
12/02/2013,0
12/03/2013,0
12/04/2013,0
12/05/2013,0
12/06/2013,0
12/07/2013,0.17
12/08/2013,0.12
12/09/2013,0.17
12/10/2013,0.55
12/11/2013,0
12/12/2013,0
12/13/2013,0
12/14/2013,0.8
12/15/2013,0.04
12/16/2013,0
12/17/2013,0
12/18/2013,0
12/19/2013,0
12/20/2013,0
12/21/2013,0
12/22/2013,0.09
12/23/2013,1.56
12/24/2013,0.01
12/25/2013,0
12/26/2013,0.04
12/27/2013,0
12/28/2013,0
12/29/2013,1.69
12/30/2013,0
12/31/2013,0

