Date/Time (EST),1m Daily Precipitation (in)
01/01/2006,0
01/02/2006,0.42
01/03/2006,0.18
01/04/2006,0
01/05/2006,0
01/06/2006,0.09
01/07/2006,0
01/08/2006,0
01/09/2006,0
01/10/2006,0
01/11/2006,0.18
01/12/2006,0.02
01/13/2006,0.56
01/14/2006,0.14
01/15/2006,0
01/16/2006,0
01/17/2006,0.02
01/18/2006,0.67
01/19/2006,0
01/20/2006,0
01/21/2006,0.39
01/22/2006,0.1
01/23/2006,0.08
01/24/2006,0
01/25/2006,0
01/26/2006,0
01/27/2006,0
01/28/2006,0
01/29/2006,0
01/30/2006,0
01/31/2006,0.33
02/01/2006,0
02/02/2006,0.04
02/03/2006,0.05
02/04/2006,0.93
02/05/2006,0
02/06/2006,0
02/07/2006,0
02/08/2006,0
02/09/2006,0
02/10/2006,0
02/11/2006,0.57
02/12/2006,0.02
02/13/2006,0
02/14/2006,0
02/15/2006,0
02/16/2006,0
02/17/2006,0
02/18/2006,0.02
02/19/2006,0
02/20/2006,0
02/21/2006,0
02/22/2006,0.57
02/23/2006,0.34
02/24/2006,0
02/25/2006,0
02/26/2006,0
02/27/2006,0
02/28/2006,0
03/01/2006,0
03/02/2006,0
03/03/2006,0
03/04/2006,0
03/05/2006,0
03/06/2006,0.07
03/07/2006,0
03/08/2006,0
03/09/2006,0
03/10/2006,0
03/11/2006,0
03/12/2006,0
03/13/2006,0
03/14/2006,0.14
03/15/2006,0
03/16/2006,0
03/17/2006,0
03/18/2006,0
03/19/2006,0
03/20/2006,0.8
03/21/2006,0.8
03/22/2006,0.02
03/23/2006,0
03/24/2006,0
03/25/2006,0.02
03/26/2006,0
03/27/2006,0
03/28/2006,0
03/29/2006,0
03/30/2006,0
03/31/2006,0
04/01/2006,0.08
04/02/2006,0
04/03/2006,0.92
04/04/2006,0
04/05/2006,0
04/06/2006,0
04/07/2006,0
04/08/2006,0.08
04/09/2006,0
04/10/2006,0
04/11/2006,0
04/12/2006,0
04/13/2006,0
04/14/2006,0
04/15/2006,0
04/16/2006,0
04/17/2006,0.59
04/18/2006,0
04/19/2006,0
04/20/2006,0
04/21/2006,0
04/22/2006,0.89
04/23/2006,0
04/24/2006,0
04/25/2006,0.96
04/26/2006,0.52
04/27/2006,1.45
04/28/2006,0
04/29/2006,0
04/30/2006,0
05/01/2006,0
05/02/2006,0
05/03/2006,0
05/04/2006,0
05/05/2006,0.15
05/06/2006,0.01
05/07/2006,2.13
05/08/2006,0
05/09/2006,0
05/10/2006,0
05/11/2006,0.14
05/12/2006,0
05/13/2006,0
05/14/2006,1.87
05/15/2006,0
05/16/2006,0
05/17/2006,0
05/18/2006,0.24
05/19/2006,0
05/20/2006,0.02
05/21/2006,0.01
05/22/2006,0
05/23/2006,0
05/24/2006,0
05/25/2006,0
05/26/2006,0.05
05/27/2006,0
05/28/2006,0
05/29/2006,0
05/30/2006,0
05/31/2006,0.3
06/01/2006,0
06/02/2006,0.98
06/03/2006,0.16
06/04/2006,0.08
06/05/2006,0.05
06/06/2006,0.04
06/07/2006,0
06/08/2006,0.01
06/09/2006,0
06/10/2006,0
06/11/2006,1.01
06/12/2006,0.59
06/13/2006,0.11
06/14/2006,5.31
06/15/2006,0
06/16/2006,0
06/17/2006,0
06/18/2006,0
06/19/2006,0
06/20/2006,0
06/21/2006,0.16
06/22/2006,0
06/23/2006,0.42
06/24/2006,0.01
06/25/2006,0.31
06/26/2006,0.25
06/27/2006,0.15
06/28/2006,0
06/29/2006,0
06/30/2006,0
07/01/2006,0
07/02/2006,0
07/03/2006,0
07/04/2006,0
07/05/2006,0
07/06/2006,0.66
07/07/2006,0
07/08/2006,0
07/09/2006,0
07/10/2006,0
07/11/2006,0
07/12/2006,0
07/13/2006,0.07
07/14/2006,0.01
07/15/2006,0
07/16/2006,0
07/17/2006,0
07/18/2006,0
07/19/2006,0.13
07/20/2006,0
07/21/2006,0
07/22/2006,0.04
07/23/2006,0.26
07/24/2006,0
07/25/2006,0.77
07/26/2006,0
07/27/2006,0.3
07/28/2006,0.01
07/29/2006,0
07/30/2006,0
