Date/Time (EST),Precipitation (mm)
2015-1-1 0:0:0,60.0
2015-1-1 0:3:0,56.89473684210526
2015-1-1 0:6:0,53.789473684210527
2015-1-1 0:9:0,50.684210526315788
2015-1-1 0:12:0,47.578947368421055
2015-1-1 0:15:0,44.473684210526315
2015-1-1 0:18:0,41.368421052631575
2015-1-1 0:21:0,38.263157894736842
2015-1-1 0:24:0,35.15789473684211
2015-1-1 0:27:0,32.05263157894737
2015-1-1 0:30:0,28.947368421052634
2015-1-1 0:33:0,25.842105263157897
2015-1-1 0:36:0,22.736842105263158
2015-1-1 0:39:0,19.631578947368425
2015-1-1 0:42:0,16.526315789473685
2015-1-1 0:45:0,13.421052631578952
2015-1-1 0:48:0,10.315789473684212
2015-1-1 0:51:0,7.2105263157894726
2015-1-1 0:54:0,4.1052631578947398
2015-1-1 0:57:0,1.0
