Date/Time (EST),Precipitation (mm)
2015-01-01 00:00:00,60.0
2015-01-01 00:01:00,59.0
2015-01-01 00:02:00,58.0
2015-01-01 00:03:00,57.0
2015-01-01 00:04:00,56.0
2015-01-01 00:05:00,55.0
2015-01-01 00:06:00,54.0
2015-01-01 00:07:00,53.0
2015-01-01 00:08:00,52.0
2015-01-01 00:09:00,51.0
2015-01-01 00:10:00,50.0
2015-01-01 00:11:00,49.0
2015-01-01 00:12:00,48.0
2015-01-01 00:13:00,47.0
2015-01-01 00:14:00,46.0
2015-01-01 00:15:00,45.0
2015-01-01 00:16:00,44.0
2015-01-01 00:17:00,43.0
2015-01-01 00:18:00,42.0
2015-01-01 00:19:00,41.0
2015-01-01 00:20:00,40.0
2015-01-01 00:21:00,39.0
2015-01-01 00:22:00,38.0
2015-01-01 00:23:00,37.0
2015-01-01 00:24:00,36.0
2015-01-01 00:25:00,35.0
2015-01-01 00:26:00,34.0
2015-01-01 00:27:00,33.0
2015-01-01 00:28:00,32.0
2015-01-01 00:29:00,31.0
2015-01-01 00:30:00,30.0
2015-01-01 00:31:00,29.0
2015-01-01 00:32:00,28.0
2015-01-01 00:33:00,27.0
2015-01-01 00:34:00,26.0
2015-01-01 00:35:00,25.0
2015-01-01 00:36:00,24.0
2015-01-01 00:37:00,23.0
2015-01-01 00:38:00,22.0
2015-01-01 00:39:00,21.0
2015-01-01 00:40:00,20.0
2015-01-01 00:41:00,19.0
2015-01-01 00:42:00,18.0
2015-01-01 00:43:00,17.0
2015-01-01 00:44:00,16.0
2015-01-01 00:45:00,15.0
2015-01-01 00:46:00,14.0
2015-01-01 00:47:00,13.0
2015-01-01 00:48:00,12.0
2015-01-01 00:49:00,11.0
2015-01-01 00:50:00,10.0
2015-01-01 00:51:00,9.0
2015-01-01 00:52:00,8.0
2015-01-01 00:53:00,7.0
2015-01-01 00:54:00,6.0
2015-01-01 00:55:00,5.0
2015-01-01 00:56:00,4.0
2015-01-01 00:57:00,3.0
2015-01-01 00:58:00,2.0
2015-01-01 00:59:00,1.0
